scale,tiles,n,m,run,seed,algorithm,objective_type,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,60,3,3,19,1842,genetic_stochastic,square,15,95.289669528,15,15,60,28293,1144,54992,0.040434029618633585,48.06993006993007
large,60,3,3,20,1942,greedy,square,16,1.788062281,15,16,60,,,,,
large,60,3,3,20,1942,stochastic_greedy,square,17,1.790990204,17,17,60,,,,,
large,60,3,3,20,1942,genetic_greedy,square,15,66.1538555,15,15,60,28385,627,32415,0.022089131583582878,51.698564593301434
large,60,3,3,20,1942,genetic_stochastic,square,15,75.290172333,15,15,60,28450,4433,53771,0.15581722319859403,12.129709000676742
large,80,3,3,1,42,greedy,square,17,2.506657223,17,17,80,,,,,
large,80,3,3,1,42,stochastic_greedy,square,18,1.239416308,18,18,80,,,,,
large,80,3,3,1,42,genetic_greedy,square,16,120.962756435,16,16,80,28440,628,43316,0.022081575246132207,68.97452229299363
large,80,3,3,1,42,genetic_stochastic,square,17,334.228693104,17,17,80,28298,2128,145297,0.07519966075341014,68.27866541353383
large,80,3,3,2,142,greedy,square,17,2.948547685,17,17,80,,,,,
large,80,3,3,2,142,stochastic_greedy,square,19,2.597253884,19,18,80,,,,,
large,80,3,3,2,142,genetic_greedy,square,17,171.250627586,17,17,80,28422,1121,72489,0.039441277883329816,64.66458519179304
large,80,3,3,2,142,genetic_stochastic,square,17,161.604597778,17,17,80,28411,882,60723,0.031044313822111154,68.84693877551021
large,80,3,3,3,242,greedy,square,18,2.09442693,17,18,80,,,,,
large,80,3,3,3,242,stochastic_greedy,square,18,2.582435466,18,18,80,,,,,
large,80,3,3,3,242,genetic_greedy,square,16,195.645208105,16,16,80,28444,1194,81633,0.041977218394037404,68.36934673366834
large,80,3,3,3,242,genetic_stochastic,square,17,282.856266789,17,17,80,28334,1704,113702,0.060139761417378416,66.72652582159624
large,80,3,3,4,342,greedy,square,17,2.627802589,17,17,80,,,,,
large,80,3,3,4,342,stochastic_greedy,square,18,2.282977971,18,18,80,,,,,
large,80,3,3,4,342,genetic_greedy,square,16,117.138811203,16,16,80,28419,648,44846,0.022801646785601183,69.20679012345678
large,80,3,3,4,342,genetic_stochastic,square,16,160.691776824,16,16,80,28312,1192,70241,0.042102288782141846,58.92701342281879
large,80,3,3,5,442,greedy,square,17,2.403191836,17,17,80,,,,,
large,80,3,3,5,442,stochastic_greedy,square,18,2.349922679,18,18,80,,,,,
large,80,3,3,5,442,genetic_greedy,square,16,106.768864974,15,16,80,28272,569,38346,0.020125919637804187,67.39191564147627
large,80,3,3,5,442,genetic_stochastic,square,16,185.322409279,16,16,80,28226,1168,80319,0.04138028767802735,68.76626712328768
large,80,3,3,6,542,greedy,square,17,2.429663222,17,17,80,,,,,
large,80,3,3,6,542,stochastic_greedy,square,18,2.287775961,18,18,80,,,,,
large,80,3,3,6,542,genetic_greedy,square,16,100.615548483,16,16,80,28064,492,34396,0.017531356898517675,69.91056910569105
