algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
merge_greedy,8,5,5,area,223.5,12.34,0.0841,0.0087
stochastic_greedy,10,10,10,area,999.0,3.0,11.0911,0.0999
stochastic_greedy,10,2,4,area,54.2,3.49,0.005,0.002
stochastic_greedy,10,3,3,area,69.1,5.72,0.0048,0.0028
stochastic_greedy,10,4,6,area,225.4,4.2,0.1212,0.0493
stochastic_greedy,10,5,5,area,241.0,5.83,0.0895,0.0049
stochastic_greedy,6,10,10,area,599.0,3.0,2.6966,0.0349
stochastic_greedy,6,2,4,area,35.1,4.44,0.0023,0.0006
stochastic_greedy,6,3,3,area,44.13,4.75,0.0022,0.0005
stochastic_greedy,6,4,6,area,138.2,4.04,0.0374,0.028
stochastic_greedy,6,5,5,area,143.0,2.45,0.0267,0.0028
stochastic_greedy,8,10,10,area,799.0,3.0,5.9527,0.0583
stochastic_greedy,8,2,4,area,46.3,3.23,0.0054,0.0032
stochastic_greedy,8,3,3,area,57.31,5.12,0.0033,0.0016
stochastic_greedy,8,4,6,area,184.0,5.59,0.0662,0.0184
stochastic_greedy,8,5,5,area,196.2,9.43,0.0532,0.0042
