scale,tiles,n,m,run,seed,algorithm,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,60,3,3,5,442,genetic_stochastic,15,113.460118212,15,15,60,28362,1691,78081,0.05962202947605952,46.17445298639858
large,60,3,3,6,542,greedy,16,1.692772346,15,16,60,,,,,
large,60,3,3,6,542,stochastic_greedy,16,1.410662328,16,16,60,,,,,
large,60,3,3,6,542,genetic_greedy,15,77.649087889,15,15,60,28409,826,41503,0.02907529304093773,50.24576271186441
large,60,3,3,6,542,genetic_stochastic,15,80.617542683,15,15,60,28324,979,47304,0.034564327072447394,48.31869254341164
large,60,3,3,7,642,greedy,16,1.877087558,14,16,60,,,,,
large,60,3,3,7,642,stochastic_greedy,16,0.477806756,16,16,60,,,,,
large,60,3,3,7,642,genetic_greedy,15,80.125413836,15,15,60,28404,846,42455,0.029784537389100127,50.18321513002364
large,60,3,3,7,642,genetic_stochastic,15,87.800274601,15,15,60,28381,1115,55188,0.039286846834149604,49.49596412556054
large,60,3,3,8,742,greedy,16,1.952177706,15,16,60,,,,,
large,60,3,3,8,742,stochastic_greedy,17,1.874996794,17,17,60,,,,,
large,60,3,3,8,742,genetic_greedy,15,64.974731479,15,15,60,28298,590,30339,0.02084953000212029,51.42203389830509
large,60,3,3,8,742,genetic_stochastic,15,80.195821727,15,15,60,28213,949,44179,0.033636975862191186,46.55321390937829
large,60,3,3,9,842,greedy,16,2.062954958,16,15,60,,,,,
large,60,3,3,9,842,stochastic_greedy,17,2.039062115,16,17,60,,,,,
large,60,3,3,9,842,genetic_greedy,15,56.150278214,15,14,60,28294,529,26571,0.018696543436771046,50.22873345935728
large,60,3,3,9,842,genetic_stochastic,15,166.890016527,15,15,60,28490,9528,137037,0.33443313443313444,14.382556675062972
large,60,3,3,10,942,greedy,16,1.857970971,15,16,60,,,,,
large,60,3,3,10,942,stochastic_greedy,17,2.009272789,17,16,60,,,,,
large,60,3,3,10,942,genetic_greedy,15,56.742700896,15,15,60,28507,484,24829,0.016978286035008946,51.299586776859506
large,60,3,3,10,942,genetic_stochastic,15,78.941703276,15,15,60,28441,918,45327,0.032277346084877465,49.37581699346405
large,60,3,3,11,1042,greedy,18,1.648476676,18,18,60,,,,,
large,60,3,3,11,1042,stochastic_greedy,17,1.818407861,17,17,60,,,,,
large,60,3,3,11,1042,genetic_greedy,15,50.626382582,15,15,60,28371,488,24046,0.01720066264847908,49.27459016393443
large,60,3,3,11,1042,genetic_stochastic,16,115.277901471,16,16,60,28351,1445,71063,0.05096821981587951,49.17854671280277
large,60,3,3,12,1142,greedy,16,1.735486903,15,16,60,,,,,
large,60,3,3,12,1142,stochastic_greedy,17,1.789689246,17,16,60,,,,,
large,60,3,3,12,1142,genetic_greedy,15,88.476714025,15,15,60,28210,988,49645,0.035023041474654376,50.247975708502025
large,60,3,3,12,1142,genetic_stochastic,15,75.844722638,15,15,60,28364,899,42238,0.031695106472993936,46.983314794215794
large,60,3,3,13,1242,greedy,16,1.682958892,15,16,60,,,,,
large,60,3,3,13,1242,stochastic_greedy,17,1.847888041,17,17,60,,,,,
large,60,3,3,13,1242,genetic_greedy,15,74.397437536,15,15,60,28305,728,36832,0.025719837484543366,50.59340659340659
large,60,3,3,13,1242,genetic_stochastic,15,77.816683442,15,15,60,28279,876,42893,0.030977050107853885,48.96461187214612
large,60,3,3,14,1342,greedy,15,1.666194578,15,15,60,,,,,
large,60,3,3,14,1342,stochastic_greedy,17,1.545331341,17,17,60,,,,,
large,60,3,3,14,1342,genetic_greedy,15,60.197101925,15,15,60,28354,461,23438,0.0162587289271355,50.84164859002169
large,60,3,3,14,1342,genetic_stochastic,15,62.60292825,15,15,60,28346,600,30019,0.02116700769067946,50.031666666666666
large,60,3,3,15,1442,greedy,17,0.306339043,16,17,60,,,,,
large,60,3,3,15,1442,stochastic_greedy,17,1.912153265,17,17,60,,,,,
large,60,3,3,15,1442,genetic_greedy,15,79.378291009,15,15,60,28296,763,40013,0.02696494204127792,52.44167758846658
large,60,3,3,15,1442,genetic_stochastic,16,123.914669407,16,16,60,28429,1475,67451,0.05188363994512646,45.729491525423725
large,60,3,3,16,1542,greedy,16,1.690648169,16,16,60,,,,,
large,60,3,3,16,1542,stochastic_greedy,16,1.427809481,16,16,60,,,,,
large,60,3,3,16,1542,genetic_greedy,15,45.035050588,15,15,60,28406,323,17066,0.011370837147081602,52.8359133126935
large,60,3,3,16,1542,genetic_stochastic,15,140.055003982,15,15,60,28451,1922,93690,0.06755474324276826,48.74609781477628
large,60,3,3,17,1642,greedy,16,1.868753686,16,15,60,,,,,
large,60,3,3,17,1642,stochastic_greedy,16,1.55285708,16,16,60,,,,,
large,60,3,3,17,1642,genetic_greedy,15,55.884221419,15,15,60,28360,523,25660,0.018441466854724965,49.06309751434034
large,60,3,3,17,1642,genetic_stochastic,15,80.024682103,15,15,60,28374,1019,47352,0.0359131599351519,46.46908734052993
large,60,3,3,18,1742,greedy,16,0.446627202,16,16,60,,,,,
large,60,3,3,18,1742,stochastic_greedy,16,1.925589251,16,16,60,,,,,
large,60,3,3,18,1742,genetic_greedy,15,55.898583684,15,15,60,28373,491,24899,0.017305184506396926,50.710794297352344
large,60,3,3,18,1742,genetic_stochastic,15,80.718269795,15,15,60,28361,3818,49328,0.13462148725362294,12.919853326348873
large,60,3,3,19,1842,greedy,16,1.666652614,15,16,60,,,,,
large,60,3,3,19,1842,stochastic_greedy,18,0.51134162,18,17,60,,,,,
large,60,3,3,19,1842,genetic_greedy,15,71.045161637,15,15,60,28294,726,36356,0.025659150349897505,50.07713498622589
large,60,3,3,19,1842,genetic_stochastic,15,95.289669528,15,15,60,28293,1144,54992,0.040434029618633585,48.06993006993007
large,60,3,3,20,1942,greedy,16,1.788062281,15,16,60,,,,,
large,60,3,3,20,1942,stochastic_greedy,17,1.790990204,17,17,60,,,,,
large,60,3,3,20,1942,genetic_greedy,15,66.1538555,15,15,60,28385,627,32415,0.022089131583582878,51.698564593301434
large,60,3,3,20,1942,genetic_stochastic,15,75.290172333,15,15,60,28450,4433,53771,0.15581722319859403,12.129709000676742
large,80,3,3,1,42,greedy,17,2.506657223,17,17,80,,,,,
large,80,3,3,1,42,stochastic_greedy,18,1.239416308,18,18,80,,,,,
large,80,3,3,1,42,genetic_greedy,16,120.962756435,16,16,80,28440,628,43316,0.022081575246132207,68.97452229299363
large,80,3,3,1,42,genetic_stochastic,17,334.228693104,17,17,80,28298,2128,145297,0.07519966075341014,68.27866541353383
large,80,3,3,2,142,greedy,17,2.948547685,17,17,80,,,,,
large,80,3,3,2,142,stochastic_greedy,19,2.597253884,19,18,80,,,,,
large,80,3,3,2,142,genetic_greedy,17,171.250627586,17,17,80,28422,1121,72489,0.039441277883329816,64.66458519179304
large,80,3,3,2,142,genetic_stochastic,17,161.604597778,17,17,80,28411,882,60723,0.031044313822111154,68.84693877551021
large,80,3,3,3,242,greedy,18,2.09442693,17,18,80,,,,,
large,80,3,3,3,242,stochastic_greedy,18,2.582435466,18,18,80,,,,,
large,80,3,3,3,242,genetic_greedy,16,195.645208105,16,16,80,28444,1194,81633,0.041977218394037404,68.36934673366834
large,80,3,3,3,242,genetic_stochastic,17,282.856266789,17,17,80,28334,1704,113702,0.060139761417378416,66.72652582159624
large,80,3,3,4,342,greedy,17,2.627802589,17,17,80,,,,,
large,80,3,3,4,342,stochastic_greedy,18,2.282977971,18,18,80,,,,,
large,80,3,3,4,342,genetic_greedy,16,117.138811203,16,16,80,28419,648,44846,0.022801646785601183,69.20679012345678
large,80,3,3,4,342,genetic_stochastic,16,160.691776824,16,16,80,28312,1192,70241,0.042102288782141846,58.92701342281879
large,80,3,3,5,442,greedy,17,2.403191836,17,17,80,,,,,
large,80,3,3,5,442,stochastic_greedy,18,2.349922679,18,18,80,,,,,
