scale,tiles,n,m,run,seed,algorithm,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
medium,30,3,3,19,1842,greedy,13,0.749333383,12,13,30,,,,,
medium,30,3,3,19,1842,stochastic_greedy,13,1.004734114,13,13,30,,,,,
medium,30,3,3,19,1842,genetic_greedy,12,11.929060615,12,12,30,12640,361,8095,0.02856012658227848,22.42382271468144
medium,30,3,3,19,1842,genetic_stochastic,12,14.492662527,12,12,30,12643,601,12853,0.047536186031796254,21.38602329450915
medium,30,3,3,20,1942,greedy,13,1.067205541,12,13,30,,,,,
medium,30,3,3,20,1942,stochastic_greedy,13,0.267695228,13,13,30,,,,,
medium,30,3,3,20,1942,genetic_greedy,12,10.788862787,12,12,30,12600,314,6282,0.02492063492063492,20.006369426751593
medium,30,3,3,20,1942,genetic_stochastic,12,15.171256164,12,12,30,12670,871,17038,0.06874506708760852,19.56142365097589
medium,30,3,3,21,2042,greedy,12,0.900093584,12,12,30,,,,,
medium,30,3,3,21,2042,stochastic_greedy,13,1.068582964,12,13,30,,,,,
medium,30,3,3,21,2042,genetic_greedy,11,8.040561844,11,11,30,12540,91,2053,0.0072567783094098885,22.560439560439562
medium,30,3,3,21,2042,genetic_stochastic,12,15.754302516,12,12,30,12674,688,14437,0.054284361685340066,20.984011627906977
medium,30,3,3,22,2142,greedy,14,1.135821864,13,14,30,,,,,
medium,30,3,3,22,2142,stochastic_greedy,14,0.950226546,14,14,30,,,,,
medium,30,3,3,22,2142,genetic_greedy,12,17.821443768,12,12,30,12611,2648,23247,0.20997541828562366,8.779078549848943
medium,30,3,3,22,2142,genetic_stochastic,12,16.237376427,12,12,30,12534,920,18505,0.07340035104515717,20.11413043478261
medium,30,3,3,23,2242,greedy,13,1.023676467,13,13,30,,,,,
medium,30,3,3,23,2242,stochastic_greedy,14,1.158523693,14,14,30,,,,,
medium,30,3,3,23,2242,genetic_greedy,12,10.861145742,12,11,30,12588,241,5670,0.019145217667619955,23.526970954356848
medium,30,3,3,23,2242,genetic_stochastic,12,14.783320597,12,12,30,12554,752,14350,0.059901226700653176,19.08244680851064
medium,30,3,3,24,2342,greedy,12,0.115744296,12,12,30,,,,,
medium,30,3,3,24,2342,stochastic_greedy,13,0.986680984,13,13,30,,,,,
medium,30,3,3,24,2342,genetic_greedy,12,11.995767705,12,12,30,12649,530,8167,0.0419005454976678,15.409433962264151
medium,30,3,3,24,2342,genetic_stochastic,12,13.961401537,12,12,30,12586,554,11346,0.04401716192594947,20.48014440433213
medium,30,3,3,25,2442,greedy,13,1.040691264,13,13,30,,,,,
medium,30,3,3,25,2442,stochastic_greedy,14,0.247822139,14,14,30,,,,,
medium,30,3,3,25,2442,genetic_greedy,12,10.615268468,12,12,30,12644,371,6389,0.02934198038595381,17.221024258760107
medium,30,3,3,25,2442,genetic_stochastic,12,10.724544372,12,12,30,12545,432,8761,0.034436030290952574,20.28009259259259
medium,30,3,3,26,2542,greedy,13,0.885413751,12,13,30,,,,,
medium,30,3,3,26,2542,stochastic_greedy,13,1.081628186,13,13,30,,,,,
medium,30,3,3,26,2542,genetic_greedy,12,8.649599542,12,12,30,12537,64,1607,0.0051048895270000795,25.109375
